County,ZIPCode,Population,TotalPopulation,Weight
Jefferson,77665,1375,256526,0.00536
Jefferson,77701,13340,256526,0.05200
Jefferson,77702,2693,256526,0.01050
Jefferson,77703,12707,256526,0.04953
Jefferson,77705,38200,256526,0.14891
Jefferson,77706,28829,256526,0.11238
Jefferson,77707,17832,256526,0.06951
Jefferson,77708,13107,256526,0.05109
Jefferson,77710,4,256526,0.00002
Jefferson,77713,17114,256526,0.06671
Jim Hogg,78360,54,4838,0.01116
Jim Hogg,78361,4784,4838,0.98884
Jim Wells,78332,26682,38891,0.68607
Jim Wells,78372,6508,38891,0.16734
Jim Wells,78375,3382,38891,0.08696
Jim Wells,78383,1512,38891,0.03888
Jim Wells,78384,807,38891,0.02075
Johnson,76009,23731,179927,0.13189
Johnson,76028,51954,179927,0.28875
Johnson,76031,18168,179927,0.10097
Johnson,76033,26933,179927,0.14969
Johnson,76035,132,179927,0.00073
Johnson,76036,3249,179927,0.01806
Johnson,76044,5708,179927,0.03172
Johnson,76049,134,179927,0.00074
Johnson,76050,6676,179927,0.03710
Johnson,76058,21218,179927,0.11793
Johnson,76059,4818,179927,0.02678
Johnson,76063,5201,179927,0.02891
Johnson,76070,24,179927,0.00013
Johnson,76084,9673,179927,0.05376
Johnson,76093,2308,179927,0.01283
Jones,79501,3471,19663,0.17652
Jones,79503,193,19663,0.00982
Jones,79520,2096,19663,0.10660
Jones,79525,2969,19663,0.15099
Jones,79533,395,19663,0.02009
Jones,79536,901,19663,0.04582
Jones,79553,3094,19663,0.15735
Jones,79560,18,19663,0.00092
Jones,79601,6526,19663,0.33189
Karnes,78111,10,14710,0.00068
Karnes,78113,1042,14710,0.07084
Karnes,78116,502,14710,0.03413
Karnes,78117,328,14710,0.02230
Karnes,78118,4905,14710,0.33345
Karnes,78119,6669,14710,0.45337
Karnes,78151,1254,14710,0.08525
Kaufman,75114,9274,145310,0.06382
Kaufman,75126,61141,145310,0.42076
Kaufman,75142,22251,145310,0.15313
Kaufman,75143,7219,145310,0.04968
Kaufman,75147,4176,145310,0.02874
Kaufman,75156,25,145310,0.00017
Kaufman,75157,210,145310,0.00145
Kaufman,75158,5179,145310,0.03564
Kaufman,75159,2257,145310,0.01553
Kaufman,75160,24946,145310,0.17167
Kaufman,75161,7608,145310,0.05236
Kaufman,75169,694,145310,0.00478
Kaufman,75474,330,145310,0.00227
Kendall,78004,494,40003,0.01235
Kendall,78006,34031,40003,0.85071
Kendall,78015,4495,40003,0.11237
Kendall,78027,505,40003,0.01262
Kendall,78070,31,40003,0.00077
Kendall,78624,447,40003,0.01117
Kenedy,78338,91,350,0.26000
Kenedy,78385,259,350,0.74000
Kent,79518,88,753,0.11687
Kent,79528,565,753,0.75033
Kent,79549,100,753,0.13280
Kerr,78010,3602,52598,0.06848
Kerr,78013,1475,52598,0.02804
Kerr,78024,824,52598,0.01567
Kerr,78025,5759,52598,0.10949
Kerr,78028,39979,52598,0.76009
Kerr,78055,29,52598,0.00055
Kerr,78058,760,52598,0.01445
Kerr,78631,170,52598,0.00323
Kimble,76849,3924,4286,0.91554
Kimble,76854,303,4286,0.07070
Kimble,76859,25,4286,0.00583
Kimble,76874,21,4286,0.00490
Kimble,76883,13,4286,0.00303
King,79248,265,265,1.00000
Kinney,78832,3129,3129,1.00000
Kleberg,78363,29159,31034,0.93958
Kleberg,78379,1875,31034,0.06042
Knox,76363,235,3353,0.07009
Knox,76371,1502,3353,0.44796
Knox,76380,289,3353,0.08619
Knox,79227,60,3353,0.01789
Knox,79529,1267,3353,0.37787
La Salle,78014,5155,6664,0.77356
La Salle,78019,1417,6664,0.21264
La Salle,78021,92,6664,0.01381
Lamar,75411,1001,50088,0.01998
Lamar,75416,3009,50088,0.06007
Lamar,75421,1049,50088,0.02094
Lamar,75435,1206,50088,0.02408
Lamar,75436,497,50088,0.00992
Lamar,75446,272,50088,0.00543
Lamar,75460,21814,50088,0.43551
Lamar,75462,12269,50088,0.24495
Lamar,75468,888,50088,0.01773
Lamar,75470,306,50088,0.00611
Lamar,75473,4113,50088,0.08212
Lamar,75477,979,50088,0.01955
Lamar,75486,2685,50088,0.05361
Lamb,79031,1245,13045,0.09544
Lamb,79064,2508,13045,0.19226
Lamb,79082,295,13045,0.02261
Lamb,79312,1039,13045,0.07965
Lamb,79326,121,13045,0.00928
Lamb,79339,6719,13045,0.51506
Lamb,79371,1118,13045,0.08570
Lampasas,76522,2984,21627,0.13798
Lampasas,76528,10,21627,0.00046
Lampasas,76539,5486,21627,0.25366
Lampasas,76550,11551,21627,0.53410
Lampasas,76824,69,21627,0.00319
Lampasas,76853,1527,21627,0.07061
Lavaca,77964,8233,20337,0.40483
Lavaca,77975,1886,20337,0.09274
Lavaca,77984,3942,20337,0.19383
Lavaca,77995,5934,20337,0.29178
Lavaca,78629,2,20337,0.00010
Lavaca,78956,340,20337,0.01672
Lee,77853,950,17478,0.05435
Lee,78621,681,17478,0.03896
Lee,78659,407,17478,0.02329
Lee,78942,8662,17478,0.49559
Lee,78946,581,17478,0.03324
Lee,78947,4775,17478,0.27320
Lee,78948,1422,17478,0.08136
Leon,75831,4098,15719,0.26070
Leon,75833,3477,15719,0.22120
Leon,75846,1366,15719,0.08690
Leon,75850,656,15719,0.04173
Leon,75855,1223,15719,0.07780
Leon,77865,1612,15719,0.10255
Leon,77871,3287,15719,0.20911
Liberty,77327,32562,91628,0.35537
Liberty,77328,3652,91628,0.03986
Liberty,77371,35,91628,0.00038
Liberty,77372,2198,91628,0.02399
Liberty,77535,33506,91628,0.36567
Liberty,77538,863,91628,0.00942
Liberty,77564,3252,91628,0.03549
Liberty,77575,15560,91628,0.16982
Limestone,75846,622,22146,0.02809
Limestone,76635,1132,22146,0.05112
Limestone,76642,6212,22146,0.28050
Limestone,76653,920,22146,0.04154
Limestone,76664,250,22146,0.01129
Limestone,76667,10411,22146,0.47011
Limestone,76678,570,22146,0.02574
Limestone,76687,2011,22146,0.09081
Limestone,76693,18,22146,0.00081
Lipscomb,79005,1642,3059,0.53678
Lipscomb,79034,849,3059,0.27754
Lipscomb,79046,493,3059,0.16116
Lipscomb,79056,75,3059,0.02452
Live Oak,78008,12,11335,0.00106
Live Oak,78022,4169,11335,0.36780
Live Oak,78071,4432,11335,0.39100
Live Oak,78075,95,11335,0.00838
Live Oak,78102,141,11335,0.01244
Live Oak,78368,890,11335,0.07852
Live Oak,78383,1596,11335,0.14080
Llano,76831,115,21243,0.00541
Llano,76885,194,21243,0.00913
Llano,78607,200,21243,0.00941
Llano,78609,2010,21243,0.09462
Llano,78611,93,21243,0.00438
Llano,78624,1,21243,0.00005
Llano,78639,7222,21243,0.33997
Llano,78643,6376,21243,0.30015
Llano,78657,4029,21243,0.18966
Llano,78672,1003,21243,0.04722
Loving,79754,64,64,1.00000
Lubbock,79311,663,310639,0.00213
Lubbock,79329,3666,310639,0.01180
Lubbock,79358,80,310639,0.00026
Lubbock,79363,7065,310639,0.02274
Lubbock,79364,7694,310639,0.02477
Lubbock,79366,1193,310639,0.00384
Lubbock,79382,7996,310639,0.02574
Lubbock,79401,8743,310639,0.02815
Lubbock,79403,15946,310639,0.05133
Lubbock,79404,10245,310639,0.03298
Lubbock,79407,21612,310639,0.06957
Lubbock,79409,6848,310639,0.02204
Lubbock,79410,8516,310639,0.02741
Lubbock,79411,7118,310639,0.02291
Lubbock,79412,15032,310639,0.04839
Lubbock,79413,20957,310639,0.06746
Lubbock,79414,17752,310639,0.05715
Lubbock,79415,17014,310639,0.05477
Lubbock,79416,36196,310639,0.11652
Lubbock,79423,42290,310639,0.13614
Lubbock,79424,54013,310639,0.17388
Lynn,79351,847,5596,0.15136
Lynn,79364,21,5596,0.00375
Lynn,79373,3319,5596,0.59310
Lynn,79381,1409,5596,0.25179
Madison,75852,3623,13455,0.26927
Madison,77831,55,13455,0.00409
Madison,77864,7188,13455,0.53423
Madison,77871,579,13455,0.04303
Madison,77872,2010,13455,0.14939
Marion,75630,1234,9725,0.12689
Marion,75640,40,9725,0.00411
Marion,75651,30,9725,0.00308
Marion,75657,7585,9725,0.77995
Marion,75668,130,9725,0.01337
Marion,75683,706,9725,0.07260
Martin,79331,20,5237,0.00382
Martin,79749,282,5237,0.05385
Martin,79782,4800,5237,0.91656
Martin,79783,135,5237,0.02578
Mason,76820,30,3953,0.00759
Mason,76825,31,3953,0.00784
Mason,76831,8,3953,0.00202
Mason,76842,104,3953,0.02631
Mason,76856,3701,3953,0.93625
Mason,76869,78,3953,0.01973
Mason,78624,1,3953,0.00025
Matagorda,77414,24310,36255,0.67053
Matagorda,77419,1498,36255,0.04132
Matagorda,77420,23,36255,0.00063
Matagorda,77422,81,36255,0.00223
Matagorda,77440,34,36255,0.00094
Matagorda,77456,111,36255,0.00306
Matagorda,77457,667,36255,0.01840
Matagorda,77458,504,36255,0.01390
Matagorda,77465,6216,36255,0.17145
Matagorda,77468,160,36255,0.00441
Matagorda,77480,234,36255,0.00645
Matagorda,77482,2417,36255,0.06667
Maverick,78852,56797,57887,0.98117
Maverick,78877,1090,57887,0.01883
McCulloch,76825,6495,7630,0.85125
McCulloch,76836,34,7630,0.00446
McCulloch,76852,247,7630,0.03237
McCulloch,76858,220,7630,0.02883
McCulloch,76872,552,7630,0.07235
McCulloch,76887,82,7630,0.01075
McLennan,76524,2217,260579,0.00851
McLennan,76557,3379,260579,0.01297
McLennan,76561,31,260579,0.00012
McLennan,76622,51,260579,0.00020
McLennan,76624,2519,260579,0.00967
McLennan,76630,1691,260579,0.00649
McLennan,76633,5819,260579,0.02233
McLennan,76638,3236,260579,0.01242
McLennan,76640,3045,260579,0.01169
McLennan,76643,15871,260579,0.06091
McLennan,76655,9811,260579,0.03765
McLennan,76657,10999,260579,0.04221
McLennan,76664,2826,260579,0.01085
McLennan,76682,2155,260579,0.00827
McLennan,76689,1388,260579,0.00533
McLennan,76691,6566,260579,0.02520
McLennan,76701,1674,260579,0.00642
McLennan,76704,7151,260579,0.02744
McLennan,76705,30785,260579,0.11814
McLennan,76706,42690,260579,0.16383
McLennan,76707,16307,260579,0.06258
McLennan,76708,27740,260579,0.10646
McLennan,76710,24808,260579,0.09520
McLennan,76711,9929,260579,0.03810
McLennan,76712,27891,260579,0.10703
McMullen,78007,161,600,0.26833
McMullen,78072,439,600,0.73167
Medina,78009,8799,50748,0.17339
Medina,78016,10513,50748,0.20716
Medina,78023,598,50748,0.01178
Medina,78039,1606,50748,0.03165
Medina,78052,1970,50748,0.03882
Medina,78056,1920,50748,0.03783
Medina,78057,36,50748,0.00071
Medina,78059,5460,50748,0.10759
Medina,78066,754,50748,0.01486
Medina,78253,3481,50748,0.06859
Medina,78850,995,50748,0.01961
Medina,78861,14158,50748,0.27899
Medina,78886,458,50748,0.00902
Menard,76825,39,1962,0.01988
Menard,76841,16,1962,0.00815
Menard,76848,78,1962,0.03976
Menard,76854,22,1962,0.01121
Menard,76859,1807,1962,0.92100
Midland,79701,29762,169983,0.17509
Midland,79703,21127,169983,0.12429
Midland,79705,44165,169983,0.25982
Midland,79706,31403,169983,0.18474
Midland,79707,38024,169983,0.22369
Midland,79758,11,169983,0.00006
Midland,79765,4669,169983,0.02747
Midland,79766,589,169983,0.00347
Midland,79782,233,169983,0.00137
Milam,76511,366,24754,0.01479
Milam,76518,1421,24754,0.05740
Milam,76519,612,24754,0.02472
Milam,76520,8022,24754,0.32407
Milam,76523,39,24754,0.00158
Milam,76530,26,24754,0.00105
Milam,76534,44,24754,0.00178
Milam,76556,1649,24754,0.06662
Milam,76567,8503,24754,0.34350
Milam,76569,1,24754,0.00004
Milam,76570,3,24754,0.00012
Milam,76577,3319,24754,0.13408
Milam,77857,749,24754,0.03026
Mills,76844,3040,4456,0.68223
Mills,76864,1131,4456,0.25382
Mills,76870,101,4456,0.02267
Mills,76880,180,4456,0.04039
Mills,76890,4,4456,0.00090
Mitchell,79512,7764,8990,0.86363
Mitchell,79532,815,8990,0.09066
Mitchell,79565,411,8990,0.04572
Montague,76228,117,19965,0.00586
Montague,76230,9709,19965,0.48630
Montague,76239,707,19965,0.03541
Montague,76251,999,19965,0.05004
Montague,76255,5223,19965,0.26161
Montague,76261,229,19965,0.01147
Montague,76265,1754,19965,0.08785
Montague,76270,1227,19965,0.06146
Montgomery,77301,35486,620443,0.05719
Montgomery,77302,19352,620443,0.03119
Montgomery,77303,21755,620443,0.03506
Montgomery,77304,38614,620443,0.06224
Montgomery,77306,14999,620443,0.02417
Montgomery,77316,27194,620443,0.04383
Montgomery,77318,17990,620443,0.02900
Montgomery,77327,97,620443,0.00016
Montgomery,77328,7385,620443,0.01190
Montgomery,77339,11525,620443,0.01858
Montgomery,77354,40080,620443,0.06460
Montgomery,77355,28845,620443,0.04649
Montgomery,77356,31706,620443,0.05110
Montgomery,77357,32321,620443,0.05209
Montgomery,77358,384,620443,0.00062
Montgomery,77362,5874,620443,0.00947
Montgomery,77365,42066,620443,0.06780
Montgomery,77372,11035,620443,0.01779
Montgomery,77378,16098,620443,0.02595
Montgomery,77380,28101,620443,0.04529
Montgomery,77381,34207,620443,0.05513
Montgomery,77382,37675,620443,0.06072
Montgomery,77384,25837,620443,0.04164
Montgomery,77385,28489,620443,0.04592
Montgomery,77386,61347,620443,0.09888
Montgomery,77447,1443,620443,0.00233
Montgomery,77873,538,620443,0.00087
Moore,79029,19323,21358,0.90472
Moore,79036,107,21358,0.00501
Moore,79058,70,21358,0.00328
Moore,79086,1858,21358,0.08699
Morris,75487,13,11973,0.00109
Morris,75568,2482,11973,0.20730
Morris,75571,1800,11973,0.15034
Morris,75638,5634,11973,0.47056
Morris,75656,521,11973,0.04351
Morris,75668,1523,11973,0.12720
Motley,79234,43,1063,0.04045
Motley,79244,747,1063,0.70273
Motley,79256,273,1063,0.25682
Nacogdoches,75760,2209,64653,0.03417
Nacogdoches,75937,2141,64653,0.03312
Nacogdoches,75943,1280,64653,0.01980
Nacogdoches,75944,697,64653,0.01078
Nacogdoches,75946,2825,64653,0.04369
Nacogdoches,75961,15051,64653,0.23280
Nacogdoches,75962,2712,64653,0.04195
Nacogdoches,75964,20308,64653,0.31411
Nacogdoches,75965,17430,64653,0.26959
Navarro,75102,1246,52624,0.02368
Navarro,75105,429,52624,0.00815
Navarro,75109,4213,52624,0.08006
Navarro,75110,30440,52624,0.57844
Navarro,75119,9,52624,0.00017
Navarro,75144,3332,52624,0.06332
Navarro,75153,174,52624,0.00331
Navarro,75155,4333,52624,0.08234
Navarro,75859,418,52624,0.00794
Navarro,76626,1925,52624,0.03658
Navarro,76639,1774,52624,0.03371
Navarro,76641,2229,52624,0.04236
Navarro,76670,7,52624,0.00013
Navarro,76679,1164,52624,0.02212
Navarro,76681,931,52624,0.01769
Newton,75928,2116,12217,0.17320
Newton,75932,2031,12217,0.16624
Newton,75933,1324,12217,0.10837
Newton,75966,3644,12217,0.29827
Newton,75977,235,12217,0.01924
Newton,77614,1786,12217,0.14619
Newton,77632,1081,12217,0.08848
Nolan,79506,450,14738,0.03053
Nolan,79535,109,14738,0.00740
Nolan,79537,61,14738,0.00414
Nolan,79545,1774,14738,0.12037
Nolan,79556,12344,14738,0.83756
Nueces,78336,7,353178,0.00002
Nueces,78343,4481,353178,0.01269
Nueces,78373,3142,353178,0.00890
Nueces,78380,25860,353178,0.07322
Nueces,78383,235,353178,0.00067
Nueces,78401,4704,353178,0.01332
Nueces,78402,625,353178,0.00177
Nueces,78404,15438,353178,0.04371
Nueces,78405,14235,353178,0.04031
Nueces,78406,1278,353178,0.00362
Nueces,78407,1676,353178,0.00475
Nueces,78408,10996,353178,0.03113
Nueces,78409,2742,353178,0.00776
Nueces,78410,29252,353178,0.08283
Nueces,78411,26335,353178,0.07457
Nueces,78412,38782,353178,0.10981
Nueces,78413,36663,353178,0.10381
Nueces,78414,46991,353178,0.13305
Nueces,78415,39028,353178,0.11051
Nueces,78416,14045,353178,0.03977
Nueces,78417,4441,353178,0.01257
Nueces,78418,31997,353178,0.09060
Nueces,78419,225,353178,0.00064
Ochiltree,79070,10015,10015,1.00000
Oldham,79001,213,1758,0.12116
Oldham,79092,1323,1758,0.75256
Oldham,79098,222,1758,0.12628
Orange,77611,10152,84808,0.11971
Orange,77630,29067,84808,0.34274
Orange,77632,20688,84808,0.24394
Orange,77662,24901,84808,0.29362
Palo Pinto,76066,180,28409,0.00634
Palo Pinto,76067,19773,28409,0.69601
Palo Pinto,76449,2603,28409,0.09163
Palo Pinto,76450,234,28409,0.00824
Palo Pinto,76453,1096,28409,0.03858
Palo Pinto,76462,632,28409,0.02225
Palo Pinto,76463,247,28409,0.00869
Palo Pinto,76472,1506,28409,0.05301
Palo Pinto,76475,815,28409,0.02869
Palo Pinto,76484,1147,28409,0.04037
Palo Pinto,76486,176,28409,0.00620
Panola,75631,2547,22491,0.11325
Panola,75633,13893,22491,0.61771
Panola,75639,2995,22491,0.13316
Panola,75643,939,22491,0.04175
Panola,75652,15,22491,0.00067
Panola,75669,1202,22491,0.05344
Panola,75672,37,22491,0.00165
Panola,75691,177,22491,0.00787
Panola,75692,5,22491,0.00022
Panola,75974,681,22491,0.03028
Parker,76008,20113,148222,0.13570
Parker,76020,13574,148222,0.09158
Parker,76023,422,148222,0.00285
Parker,76035,1266,148222,0.00854
Parker,76049,439,148222,0.00296
Parker,76066,3402,148222,0.02295
Parker,76067,370,148222,0.00250
Parker,76082,19447,148222,0.13120
Parker,76085,13191,148222,0.08899
Parker,76086,20026,148222,0.13511
Parker,76087,33748,148222,0.22769
Parker,76088,14027,148222,0.09464
Parker,76108,3142,148222,0.02120
Parker,76126,999,148222,0.00674
Parker,76462,1261,148222,0.00851
Parker,76486,356,148222,0.00240
Parker,76487,2352,148222,0.01587
Parker,76490,87,148222,0.00059
Parmer,79009,1068,9869,0.10822
Parmer,79035,4941,9869,0.50066
Parmer,79325,3382,9869,0.34269
Parmer,79347,478,9869,0.04843
Pecos,79730,218,15193,0.01435
Pecos,79735,13111,15193,0.86296
Pecos,79743,506,15193,0.03330
Pecos,79744,1157,15193,0.07615
Pecos,79781,201,15193,0.01323
Polk,75936,150,50123,0.00299
Polk,75939,3671,50123,0.07324
Polk,75960,901,50123,0.01798
Polk,77335,1954,50123,0.03898
Polk,77351,38153,50123,0.76119
Polk,77360,5294,50123,0.10562
Potter,79058,46,118525,0.00039
Potter,79068,70,118525,0.00059
Potter,79101,2189,118525,0.01847
Potter,79102,9395,118525,0.07927
Potter,79103,6347,118525,0.05355
Potter,79104,7112,118525,0.06000
Potter,79106,23836,118525,0.20111
Potter,79107,31944,118525,0.26951
Potter,79108,17662,118525,0.14901
Potter,79109,6268,118525,0.05288
Potter,79111,1638,118525,0.01382
Potter,79118,437,118525,0.00369
Potter,79121,159,118525,0.00134
Potter,79124,11422,118525,0.09637
Presidio,79843,2636,6131,0.42995
Presidio,79845,3495,6131,0.57005
Rains,75410,2015,12164,0.16565
Rains,75440,5436,12164,0.44689
Rains,75453,273,12164,0.02244
Rains,75472,4440,12164,0.36501
Randall,79015,22931,140753,0.16292
Randall,79016,363,140753,0.00258
Randall,79042,326,140753,0.00232
Randall,79098,40,140753,0.00028
Randall,79103,4163,140753,0.02958
Randall,79106,4404,140753,0.03129
Randall,79109,35202,140753,0.25010
Randall,79110,19067,140753,0.13546
Randall,79118,26589,140753,0.18891
Randall,79119,21056,140753,0.14960
Randall,79121,6442,140753,0.04577
Randall,79124,170,140753,0.00121
Reagan,76932,3385,3385,1.00000
Real,78828,5,2758,0.00181
Real,78833,735,2758,0.26650
Real,78873,1452,2758,0.52647
Real,78879,566,2758,0.20522
Red River,75412,759,11587,0.06550
Red River,75417,2509,11587,0.21654
Red River,75426,4651,11587,0.40140
Red River,75435,101,11587,0.00872
Red River,75436,1629,11587,0.14059
Red River,75487,56,11587,0.00483
Red River,75550,563,11587,0.04859
Red River,75554,1319,11587,0.11383
Reeves,79718,859,14748,0.05825
Reeves,79772,13889,14748,0.94175
Refugio,77990,715,6741,0.10607
Refugio,78340,327,6741,0.04851
Refugio,78377,3545,6741,0.52589
Refugio,78393,2154,6741,0.31954
Roberts,79059,827,827,1.00000
Robertson,76629,1870,16757,0.11160
Robertson,77807,643,16757,0.03837
Robertson,77808,681,16757,0.04064
Robertson,77837,1268,16757,0.07567
Robertson,77856,5354,16757,0.31951
Robertson,77859,6941,16757,0.41421
Rockwall,75032,35341,107819,0.32778
Rockwall,75087,40935,107819,0.37966
Rockwall,75088,4267,107819,0.03958
Rockwall,75089,2106,107819,0.01953
Rockwall,75098,1772,107819,0.01643
Rockwall,75126,50,107819,0.00046
Rockwall,75160,37,107819,0.00034
Rockwall,75189,23311,107819,0.21620
Runnels,76821,4664,9900,0.47111
Runnels,76861,1176,9900,0.11879
Runnels,76865,249,9900,0.02515
Runnels,76875,528,9900,0.05333
Runnels,76882,70,9900,0.00707
Runnels,76933,18,9900,0.00182
Runnels,79566,189,9900,0.01909
Runnels,79567,3006,9900,0.30364
Rusk,75603,1118,52214,0.02141
Rusk,75652,16925,52214,0.32415
Rusk,75654,11898,52214,0.22787
Rusk,75662,7480,52214,0.14326
Rusk,75667,2972,52214,0.05692
Rusk,75681,1914,52214,0.03666
Rusk,75684,5890,52214,0.11280
Rusk,75687,26,52214,0.00050
Rusk,75689,472,52214,0.00904
Rusk,75691,2794,52214,0.05351
Rusk,75760,14,52214,0.00027
Rusk,75784,44,52214,0.00084
Rusk,75946,667,52214,0.01277
Sabine,75930,1340,9894,0.13544
Sabine,75931,247,9894,0.02496
Sabine,75948,5735,9894,0.57964
Sabine,75959,1044,9894,0.10552
Sabine,75968,1528,9894,0.15444
San Augustine,75929,1976,7918,0.24956
San Augustine,75930,456,7918,0.05759
San Augustine,75972,5486,7918,0.69285
San Jacinto,77320,483,27402,0.01763
San Jacinto,77328,6564,27402,0.23954
San Jacinto,77331,6485,27402,0.23666
San Jacinto,77358,559,27402,0.02040
San Jacinto,77359,628,27402,0.02292
San Jacinto,77364,3263,27402,0.11908
San Jacinto,77371,7997,27402,0.29184
San Jacinto,77378,1423,27402,0.05193
San Patricio,78336,8990,68755,0.13075
San Patricio,78359,1734,68755,0.02522
San Patricio,78362,10098,68755,0.14687
San Patricio,78368,8253,68755,0.12003
San Patricio,78370,4318,68755,0.06280
San Patricio,78374,20750,68755,0.30180
San Patricio,78380,6,68755,0.00009
San Patricio,78387,9547,68755,0.13886
San Patricio,78390,5059,68755,0.07358
San Saba,76832,483,5730,0.08429
San Saba,76871,1104,5730,0.19267
San Saba,76872,155,5730,0.02705
San Saba,76877,3988,5730,0.69599
Schleicher,76936,2451,2451,1.00000
Scurry,79517,158,16932,0.00933
Scurry,79526,1009,16932,0.05959
Scurry,79527,265,16932,0.01565
Scurry,79532,4,16932,0.00024
Scurry,79549,15496,16932,0.91519
Shackelford,76430,2422,3105,0.78003
Shackelford,76464,427,3105,0.13752
Shackelford,79533,40,3105,0.01288
Shackelford,79601,216,3105,0.06957
Shelby,75935,13001,24022,0.54121
Shelby,75954,3044,24022,0.12672
Shelby,75973,2810,24022,0.11698
Shelby,75974,1775,24022,0.07389
Shelby,75975,3392,24022,0.14120
Sherman,79084,2782,2782,1.00000
Smith,75140,12,233479,0.00005
Smith,75647,1694,233479,0.00726
Smith,75662,533,233479,0.00228
Smith,75684,686,233479,0.00294
Smith,75701,34732,233479,0.14876
Smith,75702,26022,233479,0.11145
Smith,75703,43974,233479,0.18834
Smith,75704,9770,233479,0.04185
Smith,75705,2499,233479,0.01070
Smith,75706,10945,233479,0.04688
Smith,75707,17345,233479,0.07429
Smith,75708,7836,233479,0.03356
Smith,75709,5993,233479,0.02567
Smith,75750,3822,233479,0.01637
Smith,75757,7941,233479,0.03401
Smith,75762,13470,233479,0.05769
Smith,75771,22072,233479,0.09454
Smith,75773,952,233479,0.00408
Smith,75789,5078,233479,0.02175
Smith,75790,69,233479,0.00030
Smith,75791,14122,233479,0.06049
Smith,75792,3376,233479,0.01446
Smith,75798,99,233479,0.00042
Smith,75799,437,233479,0.00187
Somervell,76033,225,9205,0.02444
Somervell,76043,7319,9205,0.79511
Somervell,76048,302,9205,0.03281
Somervell,76070,585,9205,0.06355
Somervell,76077,649,9205,0.07051
Somervell,76433,125,9205,0.01358
Starr,78536,191,65920,0.00290
Starr,78547,190,65920,0.00288
Starr,78548,96,65920,0.00146
Starr,78582,44773,65920,0.67920
Starr,78584,20060,65920,0.30431
Starr,78588,293,65920,0.00444
Starr,78591,317,65920,0.00481
Stephens,76424,8588,9101,0.94363
Stephens,76429,204,9101,0.02242
Stephens,76437,27,9101,0.00297
Stephens,76450,41,9101,0.00450
Stephens,76464,29,9101,0.00319
Stephens,76470,212,9101,0.02329
Sterling,76951,1372,1372,1.00000
Stonewall,79502,1023,1245,0.82169
Stonewall,79540,222,1245,0.17831
Sutton,76874,8,3372,0.00237
Sutton,76950,3364,3372,0.99763
Swisher,79042,732,6971,0.10501
Swisher,79052,1118,6971,0.16038
Swisher,79088,5121,6971,0.73461
Tarrant,75022,473,2110640,0.00022
Tarrant,75028,169,2110640,0.00008
Tarrant,75050,11736,2110640,0.00556
Tarrant,75051,3896,2110640,0.00185
Tarrant,75052,38727,2110640,0.01835
Tarrant,75054,14221,2110640,0.00674
Tarrant,75261,1,2110640,0.00000
Tarrant,76001,33752,2110640,0.01599
Tarrant,76002,35462,2110640,0.01680
Tarrant,76006,29841,2110640,0.01414
Tarrant,76008,3300,2110640,0.00156
Tarrant,76010,55903,2110640,0.02649
Tarrant,76011,23290,2110640,0.01103
Tarrant,76012,26978,2110640,0.01278
Tarrant,76013,36419,2110640,0.01725
Tarrant,76014,35960,2110640,0.01704
Tarrant,76015,17301,2110640,0.00820
Tarrant,76016,31091,2110640,0.01473
Tarrant,76017,45542,2110640,0.02158
Tarrant,76018,27742,2110640,0.01314
Tarrant,76020,18368,2110640,0.00870
Tarrant,76021,35382,2110640,0.01676
Tarrant,76022,14634,2110640,0.00693
Tarrant,76028,21808,2110640,0.01033
Tarrant,76034,25896,2110640,0.01227
Tarrant,76036,31701,2110640,0.01502
Tarrant,76039,40010,2110640,0.01896
Tarrant,76040,32344,2110640,0.01532
Tarrant,76051,49743,2110640,0.02357
Tarrant,76052,23338,2110640,0.01106
Tarrant,76053,31528,2110640,0.01494
Tarrant,76054,12183,2110640,0.00577
Tarrant,76060,8776,2110640,0.00416
Tarrant,76063,73802,2110640,0.03497
Tarrant,76071,412,2110640,0.00020
Tarrant,76092,31463,2110640,0.01491
Tarrant,76102,13364,2110640,0.00633
Tarrant,76103,15399,2110640,0.00730
Tarrant,76104,21357,2110640,0.01012
Tarrant,76105,23252,2110640,0.01102
Tarrant,76106,36434,2110640,0.01726
Tarrant,76107,31583,2110640,0.01496
Tarrant,76108,41900,2110640,0.01985
Tarrant,76109,25434,2110640,0.01205
Tarrant,76110,29897,2110640,0.01416
Tarrant,76111,22444,2110640,0.01063
Tarrant,76112,42875,2110640,0.02031
Tarrant,76114,26537,2110640,0.01257
Tarrant,76115,20692,2110640,0.00980
Tarrant,76116,51636,2110640,0.02446
Tarrant,76117,34679,2110640,0.01643
Tarrant,76118,16842,2110640,0.00798
Tarrant,76119,51285,2110640,0.02430
Tarrant,76120,19206,2110640,0.00910
Tarrant,76122,17,2110640,0.00001
Tarrant,76123,34472,2110640,0.01633
Tarrant,76126,24179,2110640,0.01146
Tarrant,76127,2287,2110640,0.00108
Tarrant,76129,2594,2110640,0.00123
Tarrant,76131,48297,2110640,0.02288
Tarrant,76132,26238,2110640,0.01243
Tarrant,76133,52229,2110640,0.02475
Tarrant,76134,26927,2110640,0.01276
Tarrant,76135,22223,2110640,0.01053
Tarrant,76137,59376,2110640,0.02813
Tarrant,76140,32807,2110640,0.01554
Tarrant,76148,24514,2110640,0.01161
