District,ZIPCode,Population,TotalPopulation,Weight
2,75453,3241,944576,0.00343
2,75469,518,944576,0.00055
2,75471,1013,944576,0.00107
2,75472,4440,944576,0.00470
2,75474,16218,944576,0.01717
2,75476,2093,944576,0.00222
2,75478,518,944576,0.00055
2,75479,2056,944576,0.00218
2,75481,196,944576,0.00021
2,75482,26654,944576,0.02822
2,75488,1237,944576,0.00131
2,75490,2704,944576,0.00286
2,75491,857,944576,0.00091
2,75492,314,944576,0.00033
2,75496,3003,944576,0.00318
2,75752,25,944576,0.00003
2,75754,7029,944576,0.00744
2,75758,15,944576,0.00002
2,75778,1486,944576,0.00157
2,75790,5645,944576,0.00598
3,75124,3988,877170,0.00455
3,75143,7610,877170,0.00868
3,75147,236,877170,0.00027
3,75148,5896,877170,0.00672
3,75156,16785,877170,0.01914
3,75163,2343,877170,0.00267
3,75687,9,877170,0.00001
3,75751,16851,877170,0.01921
3,75752,7063,877170,0.00805
3,75756,3608,877170,0.00411
3,75757,4818,877170,0.00549
3,75758,9412,877170,0.01073
3,75760,2209,877170,0.00252
3,75763,5582,877170,0.00636
3,75766,23426,877170,0.02671
3,75770,3098,877170,0.00353
3,75778,2407,877170,0.00274
3,75784,438,877170,0.00050
3,75785,11844,877170,0.01350
3,75789,4954,877170,0.00565
3,75801,16643,877170,0.01897
3,75803,17094,877170,0.01949
3,75835,11108,877170,0.01266
3,75839,5884,877170,0.00671
3,75844,4905,877170,0.00559
3,75845,2678,877170,0.00305
3,75847,1530,877170,0.00174
3,75851,4887,877170,0.00557
3,75853,1223,877170,0.00139
3,75856,325,877170,0.00037
3,75861,14175,877170,0.01616
3,75862,9279,877170,0.01058
3,75901,28386,877170,0.03236
3,75904,34390,877170,0.03921
3,75925,3164,877170,0.00361
3,75926,1133,877170,0.00129
3,75928,2116,877170,0.00241
3,75929,1976,877170,0.00225
3,75930,1796,877170,0.00205
3,75931,2425,877170,0.00276
3,75932,2031,877170,0.00232
3,75933,1689,877170,0.00193
3,75935,13001,877170,0.01482
3,75936,1700,877170,0.00194
3,75937,2141,877170,0.00244
3,75938,1168,877170,0.00133
3,75939,3671,877170,0.00419
3,75941,8523,877170,0.00972
3,75943,1280,877170,0.00146
3,75944,697,877170,0.00079
3,75946,2825,877170,0.00322
3,75948,5735,877170,0.00654
3,75949,7984,877170,0.00910
3,75951,13984,877170,0.01594
3,75954,3044,877170,0.00347
3,75956,6517,877170,0.00743
3,75959,1044,877170,0.00119
3,75960,901,877170,0.00103
3,75961,15051,877170,0.01716
3,75962,2712,877170,0.00309
3,75964,20308,877170,0.02315
3,75965,17430,877170,0.01987
3,75966,3644,877170,0.00415
3,75968,1528,877170,0.00174
3,75969,4610,877170,0.00526
3,75972,5486,877170,0.00625
3,75973,2810,877170,0.00320
3,75974,1775,877170,0.00202
3,75975,3392,877170,0.00387
3,75976,1756,877170,0.00200
3,75977,235,877170,0.00027
3,75979,11220,877170,0.01279
3,75980,2502,877170,0.00285
3,77303,14912,877170,0.01700
3,77304,38,877170,0.00004
3,77306,124,877170,0.00014
3,77316,739,877170,0.00084
3,77318,17255,877170,0.01967
3,77320,483,877170,0.00055
3,77327,32562,877170,0.03712
3,77328,12737,877170,0.01452
3,77331,6485,877170,0.00739
3,77335,1954,877170,0.00223
3,77351,38153,877170,0.04350
3,77356,30340,877170,0.03459
3,77358,943,877170,0.00108
3,77359,628,877170,0.00072
3,77360,5294,877170,0.00604
3,77364,3263,877170,0.00372
3,77371,8032,877170,0.00916
3,77372,2198,877170,0.00251
3,77378,17521,877170,0.01997
3,77519,1108,877170,0.00126
3,77535,33506,877170,0.03820
3,77538,863,877170,0.00098
3,77564,3312,877170,0.00378
3,77575,15560,877170,0.01774
3,77585,1614,877170,0.00184
3,77611,10152,877170,0.01157
3,77612,9371,877170,0.01068
3,77614,1786,877170,0.00204
3,77616,1471,877170,0.00168
3,77624,84,877170,0.00010
3,77625,9752,877170,0.01112
3,77630,29067,877170,0.03314
3,77632,21769,877170,0.02482
3,77656,16676,877170,0.01901
3,77657,22013,877170,0.02510
3,77659,4972,877170,0.00567
3,77660,1234,877170,0.00141
3,77662,25466,877170,0.02903
3,77664,3107,877170,0.00354
3,77873,538,877170,0.00061
4,77301,35486,1019150,0.03482
4,77302,19352,1019150,0.01899
4,77303,6843,1019150,0.00671
4,77304,38576,1019150,0.03785
4,77306,14875,1019150,0.01460
4,77316,26455,1019150,0.02596
4,77318,735,1019150,0.00072
4,77327,97,1019150,0.00010
4,77328,4864,1019150,0.00477
4,77336,14899,1019150,0.01462
4,77338,1349,1019150,0.00132
4,77339,43425,1019150,0.04261
4,77345,26925,1019150,0.02642
4,77346,27441,1019150,0.02693
4,77354,40080,1019150,0.03933
4,77355,28845,1019150,0.02830
4,77356,1366,1019150,0.00134
4,77357,32820,1019150,0.03220
4,77362,5874,1019150,0.00576
4,77365,43301,1019150,0.04249
4,77372,11035,1019150,0.01083
4,77375,5857,1019150,0.00575
4,77380,28101,1019150,0.02757
4,77381,34207,1019150,0.03356
4,77382,37675,1019150,0.03697
4,77384,25837,1019150,0.02535
4,77385,28489,1019150,0.02795
4,77386,61347,1019150,0.06019
4,77389,22429,1019150,0.02201
4,77447,1443,1019150,0.00142
4,77514,3596,1019150,0.00353
4,77520,8,1019150,0.00001
4,77521,16628,1019150,0.01632
4,77523,29631,1019150,0.02907
4,77532,29455,1019150,0.02890
4,77535,1801,1019150,0.00177
4,77560,834,1019150,0.00082
4,77562,826,1019150,0.00081
4,77597,789,1019150,0.00077
4,77619,17389,1019150,0.01706
4,77622,1142,1019150,0.00112
4,77627,23274,1019150,0.02284
4,77640,16790,1019150,0.01647
4,77642,39054,1019150,0.03832
4,77650,2770,1019150,0.00272
4,77651,13676,1019150,0.01342
4,77665,7633,1019150,0.00749
4,77701,13340,1019150,0.01309
4,77702,2693,1019150,0.00264
4,77703,12707,1019150,0.01247
4,77705,38200,1019150,0.03748
4,77706,28829,1019150,0.02829
4,77707,17832,1019150,0.01750
4,77708,13107,1019150,0.01286
4,77710,4,1019150,0.00000
4,77713,17114,1019150,0.01679
5,75831,4387,1060800,0.00414
5,75833,3477,1060800,0.00328
5,75838,342,1060800,0.00032
5,75840,7433,1060800,0.00701
5,75846,1988,1060800,0.00187
5,75850,656,1060800,0.00062
5,75852,3733,1060800,0.00352
5,75855,2520,1060800,0.00238
5,75859,1409,1060800,0.00133
5,75860,7159,1060800,0.00675
5,75862,230,1060800,0.00022
5,76511,1623,1060800,0.00153
5,76518,1421,1060800,0.00134
5,76519,612,1060800,0.00058
5,76520,8022,1060800,0.00756
5,76523,39,1060800,0.00004
5,76527,4542,1060800,0.00428
5,76530,2922,1060800,0.00275
5,76534,44,1060800,0.00004
5,76537,10911,1060800,0.01029
5,76556,1649,1060800,0.00155
5,76567,8503,1060800,0.00802
5,76569,1,1060800,0.00000
5,76570,3,1060800,0.00000
5,76574,19367,1060800,0.01826
5,76577,3430,1060800,0.00323
5,76578,1939,1060800,0.00183
5,76629,1870,1060800,0.00176
5,76635,1132,1060800,0.00107
5,76642,6212,1060800,0.00586
5,76653,920,1060800,0.00087
5,76664,250,1060800,0.00024
5,76667,10411,1060800,0.00981
5,76678,570,1060800,0.00054
