File Name,Start Date,End Date,Records,Distinct Patients,Total Charges,Total Copay,Total Deductible,Total Co-Insurance,Total Standard Price,"Records (Standard
Cost <= 0)","Records (Standard
Cost = Missing)",update_ym
zip5_c2010q3,2010-07-01 00:00:00,2010-09-30 00:00:00,330778,268228,12855773644.65,13792135.36,32683604.75,136806221.72,5893390680.52021,12925,0,202207
zip5_c2010q4,2010-10-01 00:00:00,2010-12-31 00:00:00,329108,266216,13524738128.96,13188842.69,29878616.11,130919277.07,5672023443.02015,21202,0,202207
zip5_c2011q1,2011-01-01 00:00:00,2011-03-31 00:00:00,344826,276296,14463500903.8601,14155010.49,51482302.0,180591499.04,6008280882.27023,23781,0,202207
zip5_c2011q2,2011-04-01 00:00:00,2011-06-30 00:00:00,337822,271682,13634024511.92,13281967.26,40595575.39,159586895.24,6100639082.6102,12254,0,202207
zip5_c2011q3,2011-07-01 00:00:00,2011-09-30 00:00:00,336721,270297,13788417330.91,12058763.69,37556699.63,151856494.27,6153713938.9302,12666,0,202207
zip5_c2011q4,2011-10-01 00:00:00,2011-12-31 00:00:00,334515,268347,14087702942.21,11738786.95,34199996.27,145264292.19,6071919923.82005,13658,0,202207
zip5_c2012q1,2012-01-01 00:00:00,2012-03-31 00:00:00,369730,290995,16447529774.77,14071975.42,56994397.2800001,226793410.249999,6957711073.29004,16901,0,202207
zip5_c2012q2,2012-04-01 00:00:00,2012-06-30 00:00:00,342401,273267,15030400632.0,12220024.3,42209057.42,183915635.65,6326607899.55993,15086,0,202207
zip5_c2012q3,2012-07-01 00:00:00,2012-09-30 00:00:00,350554,278537,15494468276.8,9329899.14,40139888.76,177812962.54,6508542619.0302,16057,0,202207
zip5_c2012q4,2012-10-01 00:00:00,2012-12-31 00:00:00,358868,283652,16519739925.44,6916513.52,36810539.41,179109640.009999,6780638829.93026,17731,0,202207
zip5_c2013q1,2013-01-01 00:00:00,2013-03-31 00:00:00,375847,295209,17573324855.8601,6554786.05,66450955.96,235663842.920001,6963912860.13018,18393,0,202207
zip5_c2013q2,2013-04-01 00:00:00,2013-06-30 00:00:00,368723,290275,17444975693.56,6230761.82,53001322.7699999,212067298.79,6831775474.94985,19223,0,202207
zip5_c2013q3,2013-07-01 00:00:00,2013-09-30 00:00:00,368519,289879,17747241499.83,6184418.95,46380172.5999999,200963706.11,6900269430.30028,18225,0,202207
zip5_c2013q4,2013-10-01 00:00:00,2013-12-31 00:00:00,365963,287637,18144006279.01,6078111.89,41888844.14,194105209.18,6975241554.00033,19298,0,202207
zip5_c2014q1,2014-01-01 00:00:00,2014-03-31 00:00:00,356680,277606,17787396884.2399,6674568.83,60689289.67,231932039.719999,6788641396.87021,21385,0,202207
zip5_c2014q2,2014-04-01 00:00:00,2014-06-30 00:00:00,358795,278695,17698588041.18,7044568.95,46998638.51,208128161.679999,6828058495.21032,22141,0,202207
zip5_c2014q3,2014-07-01 00:00:00,2014-09-30 00:00:00,352000,273726,17517495076.5199,10030134.67,41945609.63,193169405.73,6649079780.8503,23768,0,202207
zip5_c2014q4,2014-10-01 00:00:00,2014-12-31 00:00:00,353383,273217,18366642933.65,22120498.31,36021660.1700001,187169308.66,6514844885.74035,28491,0,202207
zip5_c2015q1,2015-01-01 00:00:00,2015-03-31 00:00:00,392912,297823,20987774919.0399,30592935.7,63247369.2499999,247272623.66,7330814869.13018,31578,0,202207
zip5_c2015q2,2015-04-01 00:00:00,2015-06-30 00:00:00,387987,295383,20649059482.2501,25942025.66,50168584.58,215604380.7,7581939610.88019,29997,0,202207
zip5_c2015q3,2015-07-01 00:00:00,2015-09-30 00:00:00,387766,296714,20981448311.45,23761246.3,44827712.88,201541651.34,7596690947.08005,31007,0,202207
zip5_c2015q4,2015-10-01 00:00:00,2015-12-31 00:00:00,391593,296619,22162135136.3901,23329527.62,40295525.6,198241517.480001,7822273393.3103,30537,0,202207
zip5_c2016q1,2016-01-01 00:00:00,2016-03-31 00:00:00,466751,351658,29476606875.8801,30241391.5,69489336.2,314699325.24,9553136569.38994,38695,0,202207
zip5_c2016q2,2016-04-01 00:00:00,2016-06-30 00:00:00,459420,348769,28599929079.4001,27431901.06,56284518.0599999,275023920.750001,9769190694.4599,33149,0,202207
zip5_c2016q3,2016-07-01 00:00:00,2016-09-30 00:00:00,468137,354245,28495676679.7601,24275679.07,51251667.34,259432848.250001,9981050054.80004,34580,0,202207
zip5_c2016q4,2016-10-01 00:00:00,2016-12-31 00:00:00,478972,361536,29282460075.7401,25231829.48,47237827.7,257268248.0,10299468472.2201,35753,0,202207
zip5_c2017q1,2017-01-01 00:00:00,2017-03-31 00:00:00,557036,411301,35653988813.1001,43378578.61,76569785.2100001,350265291.47,12576816697.8306,42354,0,202207
zip5_c2017q2,2017-04-01 00:00:00,2017-06-30 00:00:00,535131,398559,33310922250.1503,38022767.27,60122774.8000001,301981910.250001,11641833215.4902,41146,0,202207
zip5_c2017q3,2017-07-01 00:00:00,2017-09-30 00:00:00,525478,392109,32624545580.2801,31713241.22,53030772.7399999,280141434.170001,11331617939.4002,41432,0,202207
zip5_c2017q4,2017-10-01 00:00:00,2017-12-31 00:00:00,543491,404464,35359782841.3306,35573214.25,49587423.35,281654030.269999,12236360352.7609,30648,0,202207
zip5_c2018q1,2018-01-01 00:00:00,2018-03-31 00:00:00,574126,422897,37834344696.1007,38643095.95,81903203.55,361616814.9,13399827366.2824,8227,0,202207
