"year","zip5","denom","cases"
2021,"14202",1,0
2018,"63701",1,0
2018,"21076",1,0
2019,"75467",1,0
2019,"54558",1,0
2020,"35754",1,0
2016,"79086",739,0
2020,"79490",253,0
2018,"75024",11335,28
2021,"70363",1,0
2018,"79719",270,0
2018,"80238",1,0
2021,"55805",1,0
2019,"76033",16074,32
2020,"75915",856,3
2016,"76065",12545,28
2019,"75212",17203,29
2019,"79839",1152,0
2022,"79360",4655,0
2019,"77713",5288,9
2017,"78753",27156,28
2017,"75686",7706,12
2019,"48104",1,0
2022,"75246",717,3
2019,"78645",6127,20
2018,"94019",1,0
2019,"78628",16266,33
2019,"75845",1705,3
2017,"78612",7804,6
2019,"97601",1,0
2019,"94010",1,0
2016,"75454",3366,11
2021,"72802",2,0
2020,"76853",896,2
2016,"75473",1722,3
2018,"77498",18612,20
2018,"71021",1,0
2017,"76045",1,0
2019,"77422",6260,8
2021,"97601",1,0
2021,"75048",9867,18
2021,"80439",2,0
2020,"32756",1,0
2021,"78142",126,0
2017,"78723",16148,33
2022,"76110",8005,6
2017,"78004",275,0
2018,"23234",1,0
2019,"76707",10468,13
2017,"75151",699,3
2021,"77209",1,0
2019,"55901",1,0
2016,"77257",289,0
2021,"76475",439,0
2022,"77269",194,0
2020,"82520",1,0
2021,"76458",2882,11
2020,"98117",3,0
2017,"75006",21950,42
2018,"77368",206,0
2019,"78599",16643,17
2017,"79748",68,0
2018,"77545",10157,15
2021,"45014",1,0
2018,"79960",1,0
2017,"75208",15039,16
2018,"75852",940,0
2018,"77805",912,1
2017,"00970",1,0
2021,"64131",1,0
2018,"42102",1,0
2018,"77359",413,0
2016,"76748",1,0
2017,"77661",301,0
2018,"79344",9,0
2019,"71822",65,0
2020,"79424",16945,37
2019,"76457",2034,5
2020,"62684",1,0
2021,"50401",2,0
2020,"62521",1,0
2019,"77303",9486,12
2018,"76181",54,0
2021,"77574",458,1
2022,"78502",503,0
2017,"76523",73,0
2017,"72631",1,0
2021,"89147",1,0
2019,"33324",3,0
2021,"76135",11766,11
2020,"78254",24457,46
2019,"78558",1202,2
2022,"78052",2613,1
2019,"76185",261,0
2019,"78827",1019,2
2017,"74019",1,0
2021,"88061",2,1
2021,"76641",1026,2
2021,"72110",1,0
2022,"76832",128,0
2021,"80634",1,0
2019,"76086",10694,21
2019,"77435",2390,3
2020,"76035",1454,3
2017,"98233",2,0
2016,"77354",13706,20
2017,"76481",112,0
2017,"78057",509,0
2018,"77036",34730,22
2022,"77003",2048,0
2016,"78726",4690,7
2020,"75903",215,0
2020,"75160",14879,26
2019,"78624",12082,27
2021,"19130",2,0
2020,"77029",9494,5
2017,"86314",1,0
2019,"76113",74,0
2019,"03431",2,0
2022,"78520",24867,7
2018,"78634",13047,17
2022,"77340",4766,6
2019,"75606",528,0
2019,"76437",3245,8
2022,"79847",15,0
2021,"99645",1,0
2016,"78689",1,0
2019,"78565",586,0
2016,"75630",1640,1
2016,"78455",1,0
2018,"53147",1,0
2017,"78961",8,0
2019,"05301",1,0
2019,"77447",7630,4
2017,"73051",1,0
2016,"79409",10,0
2022,"77664",751,1
2017,"27045",2,0
2022,"77025",2867,0
2020,"95015",1,0
2017,"87501",1,0
2019,"78289",1,0
2020,"75500",2,0
2022,"76078",1840,1
2022,"79029",3525,3
2019,"71840",5,0
2016,"93031",1,0
2021,"78010",1928,2
2020,"78064",9360,10
2020,"78601",2,0
2020,"95648",2,0
2016,"78383",2011,0
2019,"92009",1,0
2019,"78074",107,1
2022,"76402",3,0
2021,"79932",12578,16
2020,"75014",106,1
2019,"79952",63,0
2018,"78408",9119,5
2018,"76689",1864,7
2021,"77454",90,0
2022,"75608",132,0
2022,"77259",46,0
2016,"77095",22733,31
2019,"33907",1,0
2016,"77399",7575,13
2018,"64068",1,0
2020,"92262",2,0
2021,"33040",1,0
2019,"78830",465,0
2019,"77066",15415,21
2016,"75477",502,3
2021,"54901",1,0
2016,"76884",85,0
2017,"32960",1,0
2021,"78762",165,0
2021,"76476",1561,1
2016,"76801",12418,38
2018,"77623",210,0
2020,"79057",567,1
2017,"79002",22,0
2021,"28027",1,0
2018,"76471",1014,4
2021,"93550",1,0
2021,"60142",1,0
2018,"32169",1,0
2021,"75049",418,0
2017,"22556",3,0
2021,"76389",403,5
2020,"83835",1,0
2019,"76653",584,0
2016,"75033",4337,22
2016,"75044",18227,60
2021,"99635",1,0
2021,"49858",1,0
2020,"77550",11479,19
2020,"85048",1,0
2018,"24127",1,0
2019,"48092",1,0
2016,"79756",4702,14
2019,"30515",1,0
2017,"78580",8286,9
2016,"79953",134,0
2020,"02852",2,0
2019,"75202",633,0
2017,"75438",562,2
2018,"78662",1405,1
2022,"77430",459,0
2018,"78008",139,0
2020,"76360",1763,17
2020,"78605",3095,4
2018,"88203",1,0
2020,"88061",1,1
2022,"78638",383,0
2017,"39540",2,0
2020,"79847",82,0
2022,"78719",676,0
2019,"78213",22957,31
2016,"79721",520,1
2022,"75104",10812,8
2017,"79392",1,0
2018,"79830",2651,2
2019,"55447",1,0
2022,"79547",185,0
2021,"89048",1,0
2022,"76577",550,0
2021,"78737",7416,14
2020,"98687",1,0
2020,"37064",1,0
2021,"97206",1,0
2017,"97230",1,0
2016,"78476",2,0
2019,"76001",13645,22
2022,"78344",95,0
2021,"75052",40235,71
2019,"92629",1,0
2022,"75973",656,1
2017,"77006",5658,11
2020,"76247",6444,20
2020,"78541",22087,7
2016,"90731",1,0
2022,"78402",119,0
2021,"94531",2,0
2019,"33708",1,0
2017,"76055",1527,3
2019,"71802",68,0
2020,"78564",175,0
2022,"76714",59,1
2021,"28731",1,0
2020,"70363",1,0
2018,"78468",337,1
2018,"77408",1,0
2019,"78617",12109,4
2019,"88001",1,0
2021,"74136",1,0
2022,"79088",1510,2
2020,"70529",1,0
2020,"77450",23152,35
2019,"98075",2,0
2020,"74574",1,0
2020,"20010",1,0
2018,"78114",11275,23
2018,"66604",1,0
2022,"77552",114,0
2018,"76569",1293,2
2018,"45202",1,0
2020,"77387",485,0
2021,"75944",716,1
2020,"75360",199,0
2021,"77641",317,1
2020,"77833",13253,11
2016,"95118",1,0
2020,"75560",576,0
2017,"75226",1126,1
2017,"77401",5239,12
2019,"78230",18845,28
2022,"75904",9753,14
2021,"77223",273,0
2019,"53132",1,0
2018,"78051",1,0
2016,"77630",14855,20
2018,"79940",17,0
2019,"79363",2459,6
2018,"78535",986,2
2019,"77071",13307,11
2022,"77009",7443,5
2021,"54303",1,0
2017,"10958",1,0
2018,"70611",1,0
2018,"78340",204,0
2020,"79377",151,2
2021,"78063",5475,9
2018,"77344",1,0
2018,"38477",1,0
2020,"29150",1,0
2016,"76181",30,0
2018,"77226",323,0
2019,"47304",1,0
2017,"77701",8680,11
2022,"79605",8028,4
2020,"76522",17370,30
2020,"73095",1,0
2016,"77457",290,0
2020,"34234",1,0
2020,"88240",7,0
2021,"78766",183,1
2018,"77465",3693,1
2020,"20148",2,0
2021,"76121",307,0
2017,"79713",228,0
2019,"75148",3642,7
2018,"28601",1,0
2021,"84601",1,0
2021,"83716",1,0
2019,"92509",1,0
2018,"77521",26353,41
2020,"78600",2,0
2020,"32757",1,0
2021,"76271",874,4
2020,"78373",1812,6
2018,"28613",1,0
2018,"92025",2,0
2021,"78617",12872,2
2020,"27215",2,0
2019,"78292",28,0
2019,"46224",1,0
2019,"98684",3,0
2022,"75240",6410,3
2017,"77720",345,0
2018,"78132",13420,30
2021,"76472",761,4
2016,"79835",7356,3
2018,"77874",1,0
2018,"77432",133,0
2022,"78617",9564,1
2016,"77326",239,0
2021,"75462",5694,17
2021,"94110",1,0
2022,"77880",336,0
2019,"75062",20834,33
2020,"79464",359,2
2016,"77629",325,0
2021,"77662",12663,8
2019,"77842",587,1
2020,"75710",249,1
2018,"77005",7771,18
2018,"77340",9398,12
2018,"76182",12754,47
2020,"99301",1,0
2021,"75376",576,0
2020,"77227",188,0
2018,"77882",117,2
2020,"27045",2,0
2020,"76009",12035,24
2018,"77083",34094,28
2017,"76073",2549,8
2020,"75440",4059,8
2018,"77380",10533,15
2020,"76955",42,0
2020,"78523",1019,0
2017,"20710",2,0
2019,"33771",1,0
2022,"76070",45,0
2018,"75974",1809,3
2019,"85303",1,0
2022,"77476",118,0
2016,"77226",331,0
2020,"32003",1,0
2017,"78521",58417,37
2016,"76945",1013,1
2020,"78569",2517,0
2019,"21703",1,0
2019,"77881",124,1
2020,"77083",32491,25
2018,"77492",361,0
2018,"76330",1,0
2021,"14621",1,0
2022,"79944",28,0
2017,"79102",5028,7
2018,"10022",2,0
2019,"77803",15590,17
2019,"77978",247,0
2021,"78417",3087,1
2017,"77541",8657,4
2021,"28411",1,0
2021,"30039",1,0
2017,"75042",19672,18
2021,"79912",30360,56
2019,"38342",1,0
2022,"78270",81,0
2020,"98203",1,0
2020,"30263",1,0
2016,"76305",2225,8
2017,"76679",897,4
2021,"76728",1,0
2017,"78022",2856,3
2018,"77028",12756,11
2019,"74067",1,0
2020,"77399",8218,15
2017,"78573",24041,19
2021,"77091",15856,15
2022,"77358",1161,1
2016,"47150",1,0
2017,"79342",136,0
2019,"33432",1,0
2022,"75339",205,1
2017,"77617",39,0
2018,"76251",333,1
2019,"20017",1,0
2021,"71837",10,0
2021,"36027",1,0
2018,"76078",4027,13
2019,"78942",4447,6
2016,"75979",5030,7
2021,"77703",9093,10
2022,"75974",1020,2
2018,"71007",1,0
2017,"87506",1,0
2019,"77036",33841,17
2019,"95010",1,0
2021,"77447",8881,10
2016,"75265",1,0
2022,"75640",1063,2
2021,"78753",22968,21
2018,"73933",7,0
2018,"70129",1,0
2020,"75231",16360,29
2016,"34491",1,0
2021,"76628",46,0
2020,"46201",1,0
2016,"75009",4455,6
2019,"49036",2,0
2021,"76820",64,0
2021,"78802",1566,1
2018,"78702",11384,15
2016,"74076",1,0
2019,"79770",13,0
2018,"76249",3837,6
2020,"79821",2623,1
2016,"75457",3424,12
2021,"31825",1,0
2021,"75554",942,1
2019,"79834",19,0
2019,"97002",1,0
2019,"77501",345,0
2022,"77218",27,0
2022,"79159",138,0
2022,"75489",118,0
2018,"94904",1,0
2018,"22042",1,1
2018,"46208",1,0
2019,"95661",1,0
2020,"79081",1479,2
2022,"76550",2606,2
2021,"77050",2839,2
2021,"75901",14978,19
2018,"78635",74,0
2019,"76006",10302,17
2019,"79911",1408,1
2021,"75028",14448,28
2022,"77079",3982,2
2018,"05301",1,0
2022,"79926",121,0
2016,"79247",38,0
2017,"77871",2170,3
2021,"88220",1,0
2019,"75087",13716,35
2018,"60169",1,0
2021,"79758",1299,4
2017,"75763",3584,9
2019,"90404",1,0
2018,"75668",1325,3
2016,"78368",6866,6
2021,"75336",189,0
2019,"32163",1,0
2017,"75755",2963,10
2022,"75755",1489,4
2019,"76351",967,19
2021,"76885",77,1
2022,"79098",64,0
2020,"80210",2,0
2020,"78358",1490,1
2021,"55076",1,0
2021,"78583",4006,2
2021,"77288",220,0
2019,"63376",1,0
2016,"76210",15223,27
2016,"76249",3698,6
2021,"78260",11677,27
2016,"77374",179,2
2019,"79528",243,0
2019,"78427",586,0
2020,"76111",10938,10
2022,"77665",1883,0
2016,"76608",1,0
2021,"77990",330,0
2018,"76481",115,0
2020,"77535",15086,15
2017,"76385",261,3
2020,"77590",15940,25
2021,"75360",179,0
2019,"76028",31332,86
2021,"79708",382,0
2016,"78124",3003,2
2016,"75200",2,0
2019,"78201",28083,28
2018,"79528",240,1
2017,"75103",7193,20
2018,"75928",760,0
2016,"92021",2,0
2021,"79745",3360,4
2017,"45417",1,0
2021,"75212",16707,20
2020,"81052",1,0
2021,"94102",1,0
2016,"88005",1,1
2021,"79545",950,1
2018,"77707",8653,26
2019,"75928",815,0
2017,"75091",960,3
2016,"16232",1,0
2021,"78608",318,1
2022,"78114",4618,6
2021,"75440",4244,9
2021,"39560",1,0
2018,"32802",1,0
2018,"20158",29,1
2020,"07002",1,0
2019,"77614",465,1
2018,"78503",12423,12
2021,"46037",2,0
2020,"98684",1,0
2020,"75026",299,0
2021,"52807",1,0
2022,"79381",288,0
2018,"39531",1,0
2022,"78543",3554,0
2021,"78111",2,0
2017,"75987",1,0
2019,"76684",92,0
2022,"76238",20,0
2018,"78570",22245,10
2020,"45368",1,0
2022,"76133",13221,12
2019,"77075",17149,14
2016,"78536",161,1
2018,"77834",916,5
2018,"75425",50,0
2020,"79411",3806,2
2021,"46064",3,0
2017,"77084",41859,42
2021,"94566",3,0
2017,"75680",12,0
2018,"83002",1,0
2018,"77625",4420,7
2016,"92126",1,0
2016,"77643",83,0
2016,"06484",1,0
2020,"97330",1,0
2016,"75904",16415,29
2018,"88220",1,0
2018,"78516",22112,7
2019,"20148",2,0
2021,"76708",15405,32
2021,"75229",13145,36
2022,"76887",6,0
2019,"62939",1,0
2021,"90063",1,0
2018,"75371",22,0
2019,"80439",1,0
2019,"77263",143,0
2022,"78739",394,0
2017,"78535",1007,2
2020,"61820",1,0
2017,"18064",1,0
2018,"75468",449,1
2017,"77408",1,0
2021,"78118",2615,4
2022,"75446",784,2
2017,"79745",3634,4
2021,"75404",310,0
2020,"77072",26848,18
2020,"97496",1,0
2020,"75242",5,0
2020,"44904",1,0
2020,"11790",1,0
2018,"79360",6496,5
2017,"01749",1,0
2019,"75441",55,0
2021,"66536",1,0
2017,"08540",1,0
2021,"79086",756,1
2017,"93955",1,0
2018,"78735",7482,15
2017,"88345",2,0
2021,"76566",154,0
2020,"77021",15889,20
2018,"75630",1755,2
2016,"76841",46,0
2020,"75372",56,0
2016,"76541",10515,17
2021,"75103",8046,16
2016,"92394",1,0
2021,"78238",15323,23
2016,"78298",49,0
2022,"76270",340,1
2022,"76932",702,0
2017,"85704",1,0
2019,"95403",1,0
2021,"78054",235,0
2021,"76621",383,1
2021,"78733",2756,2
2019,"71862",1,0
2018,"71838",2,0
2019,"75491",2736,11
2020,"79832",19,0
2019,"78747",7695,11
2019,"24153",2,0
2019,"79330",48,0
2017,"74727",4,0
2020,"43964",1,0
2021,"77859",4598,12
2016,"79944",69,0
2021,"75092",13215,43
2019,"06457",1,0
2021,"78611",8775,15
2016,"75461",615,6
2022,"78115",9,0
2018,"35905",2,0
2021,"44842",1,0
2018,"80120",2,0
2021,"79526",397,1
2017,"75200",2,0
2022,"79510",1746,4
2016,"78265",625,1
2022,"75062",11296,10
2017,"76148",11853,43
2021,"21409",1,0
2020,"93031",1,0
2017,"71007",1,0
2020,"85705",1,0
2020,"78802",1580,1
2017,"42003",2,0
2018,"76448",3220,15
2017,"77217",109,0
2018,"76537",3775,9
2017,"48307",1,0
2020,"95207",3,0
2022,"75493",222,0
2021,"78615",768,0
2021,"77331",4540,8
2019,"78379",1110,1
2019,"76097",662,1
2018,"76874",38,0
2021,"78270",358,1
2016,"78764",68,0
2020,"60302",3,0
2018,"77720",321,1
2019,"34135",3,0
2017,"77033",21017,21
2022,"76687",261,0
2021,"76087",14708,34
2016,"92562",1,0
2022,"75150",17933,10
2020,"30260",1,0
2017,"78105",1,0
2018,"92807",1,0
2018,"43021",1,0
2021,"79040",572,1
2018,"39565",1,0
2016,"79117",391,0
2018,"75700",2,0
2019,"02130",2,0
2017,"79062",93,0
2016,"78114",10907,21
2017,"65714",1,0
2019,"66061",1,0
2018,"76005",421,0
2021,"97499",2,0
2021,"79230",73,0
2021,"78100",1,0
2019,"23453",3,0
2018,"73446",1,0
2016,"76102",4707,11
2020,"77471",21341,19
2020,"76040",12994,17
2016,"76635",759,1
2016,"77440",36,0
2022,"77008",2076,2
2022,"79057",306,0
2017,"37803",1,0
2016,"00957",2,0
2021,"75858",88,0
2017,"74957",2,0
2020,"77522",1119,0
2017,"77441",4977,5
2019,"88241",1,0
2021,"77957",4885,6
2017,"73159",3,0
2021,"75234",15510,15
2017,"78387",6868,10
2016,"79839",1124,0
2021,"77087",18300,16
2017,"33756",1,0
2017,"76453",537,3
2021,"75456",907,3
2018,"29672",1,0
2018,"46514",2,0
2017,"67235",1,0
2019,"75372",61,0
2019,"70122",2,0
2020,"95758",1,0
2017,"78039",927,1
2019,"75411",522,1
2017,"76354",5909,28
2018,"79084",873,1
2016,"78652",2384,6
2019,"10025",2,0
2016,"75360",239,0
2019,"92377",1,0
2017,"77304",12390,17
2022,"78043",18324,6
2018,"75764",114,0
2021,"94903",1,0
2020,"78101",4408,9
2017,"79329",1635,4
2020,"00751",1,0
2020,"78646",467,0
2021,"92211",1,0
2020,"20147",1,0
2016,"76259",2120,2
2020,"77659",2153,8
2021,"92554",1,0
2019,"44070",1,0
2016,"77067",15673,13
2021,"73853",1,0
2019,"77019",7734,7
2019,"79718",310,0
2019,"46516",1,0
2016,"77476",412,0
2018,"78638",1174,3
2016,"78766",216,0
2017,"71854",157,1
2022,"77566",5448,4
2018,"70777",1,0
2022,"78628",3700,6
2016,"77201",1,0
2021,"79995",540,0
2019,"74574",1,0
2020,"75000",4,0
2019,"77437",9305,16
2016,"78245",34461,44
2019,"78362",6154,7
2017,"77234",181,0
2020,"71846",7,0
2022,"77367",106,0
2017,"55434",1,0
2017,"15238",1,0
2022,"78102",6696,0
2020,"78730",2796,8
2017,"77831",2004,5
2020,"30032",1,0
2019,"79832",25,0
2022,"77002",1286,0
2017,"76130",2,0
2017,"78269",336,0
2018,"79702",935,4
2017,"77350",274,0
2021,"46530",1,0
2022,"75788",13,0
2016,"76015",9086,19
2018,"77480",3533,6
2019,"66211",1,0
2016,"76481",105,0
2020,"73135",1,0
2019,"90036",2,0
2020,"85257",3,0
2019,"78156",872,0
2021,"79108",6356,18
2021,"63401",1,0
2019,"78290",1,0
2019,"70157",1,0
2019,"76556",765,0
2019,"76094",119,0
2017,"78586",32578,29
2016,"77043",10502,19
2017,"75493",344,0
2020,"75666",169,0
2018,"88062",1,0
2020,"79567",1949,5
2020,"70043",1,0
2020,"76852",108,0
2017,"73132",1,0
2016,"75367",168,1
2019,"76821",2742,3
2022,"75074",9516,10
2022,"78588",74,0
2017,"79739",287,0
2022,"78070",2449,2
2017,"97408",1,0
2020,"78025",3119,7
2018,"75956",4468,6
2019,"29803",1,0
2021,"78246",196,1
2020,"73075",1,0
2022,"75224",11377,9
2021,"76066",1824,4
2020,"75460",14334,53
2018,"95134",2,0
2018,"08886",1,0
2017,"79372",681,4
2017,"75114",2437,6
2016,"76132",12323,25
2021,"77005",7515,20
2020,"76126",10916,39
2018,"91335",1,0
2016,"35905",2,0
2016,"72644",1,0
2020,"11735",1,0
2021,"77867",4,0
2018,"79713",221,0
2018,"78539",15372,19
2017,"76433",761,1
2021,"76401",12534,24
2020,"01945",1,0
2019,"75045",228,1
2017,"78526",23941,12
2020,"39560",1,0
2017,"76041",201,0
2019,"91708",1,0
2019,"79730",117,0
2019,"34655",1,0
2019,"79504",1568,3
2020,"48009",1,0
2020,"78751",3088,10
2021,"75942",179,0
2018,"98390",1,0
2016,"76448",3119,8
2017,"98277",1,0
2021,"78352",193,0
2018,"85296",2,0
2021,"79748",62,0
2022,"76463",115,0
2020,"98043",1,0
2021,"70812",1,0
2021,"33484",1,0
2021,"75436",1175,2
2016,"76802",2292,6
2020,"75661",1524,5
2021,"77874",1,0
2016,"77391",230,0
2017,"77519",656,0
2016,"32043",1,0
2017,"79103",5739,17
2018,"79567",1908,5
2022,"78537",26988,12
2018,"20772",1,0
2019,"78761",492,0
2021,"62280",2,0
2017,"78760",500,0
2020,"29152",1,0
2021,"89705",1,0
2016,"21217",1,0
2021,"72088",2,0
2021,"79713",240,0
2019,"95015",1,0
2017,"79536",2892,7
2017,"76109",10031,24
2022,"75022",875,1
2019,"78071",1883,1
2020,"75052",37889,77
2019,"76004",326,1
2016,"77460",76,0
2018,"73570",1,0
2022,"79761",8077,7
2017,"39631",2,0
2018,"75602",12677,26
2020,"40229",1,0
2017,"89123",1,0
2020,"76137",21730,33
2018,"28374",2,0
2017,"78383",2143,1
2020,"77340",10032,14
2020,"37334",1,0
2020,"75668",1328,6
2017,"40601",1,0
2016,"79405",1,0
2021,"94949",1,0
2019,"62254",1,0
2016,"78714",981,6
2017,"75163",1558,4
2017,"79424",18913,41
2020,"76204",9,0
2019,"76058",11066,21
2019,"77852",64,3
2021,"79381",518,0
2020,"71270",3,0
2019,"79356",2439,6
2021,"77355",12783,21
2016,"77623",191,0
2019,"77023",12140,11
2017,"64086",1,0
2018,"77026",15430,15
2020,"72908",3,0
2020,"77554",3540,6
2022,"78708",119,0
2018,"28083",1,0
2018,"95814",1,0
2020,"76094",127,1
2019,"73072",1,0
2019,"77990",313,0
2020,"79924",33127,49
2017,"75455",14005,28
2019,"75064",1,0
2020,"78059",2949,6
2019,"00693",2,0
2017,"75451",746,2
2022,"75167",1468,2
2018,"78057",518,1
2018,"75038",11223,13
2017,"78115",58,0
2019,"20002",1,0
2020,"48076",1,0
2019,"78540",2193,4
2017,"78627",656,0
2019,"75104",22271,42
2018,"77993",64,0
2021,"85257",3,0
2019,"75956",4373,5
2017,"78280",85,0
2022,"76651",853,0
2019,"75033",5055,28
2018,"94070",1,0
2021,"44004",1,0
2020,"50401",1,0
2016,"78463",483,0
2020,"80621",1,0
2018,"75487",866,4
2019,"89143",2,0
2021,"75902",591,0
2020,"97223",1,0
2017,"78152",1158,1
2020,"75250",12,0
2019,"77426",1120,3
2021,"77445",7659,8
2021,"94561",1,0
2020,"78472",2,0
2018,"95240",1,0
2018,"78240",24256,55
2020,"76005",690,0
2016,"02659",1,0
2017,"32055",1,0
2017,"75687",96,0
2021,"30101",2,0
2021,"79845",3457,0
2018,"80013",1,0
2017,"76875",262,2
2021,"75070",21738,45
2020,"65270",2,0
2020,"77379",29538,42
2021,"88240",3,0
2019,"93433",1,0
2018,"11238",1,0
2019,"60067",1,0
2019,"90007",1,0
2022,"75412",138,0
2022,"78380",8078,2
2020,"86444",2,0
2020,"79107",18306,39
2017,"77430",1128,1
2016,"76557",2393,4
2017,"78256",2431,7
2021,"79832",12,0
2021,"65101",1,0
2016,"94044",1,0
2020,"77494",30132,60
2018,"77903",1179,2
2020,"89134",2,0
2020,"89044",1,0
2016,"79768",506,5
2017,"78951",29,0
2017,"76435",333,0
2021,"79107",18757,39
2021,"97205",1,0
2017,"77584",26763,49
2020,"73573",1,0
2021,"76932",1518,1
2022,"77969",20,0
2020,"78009",4267,13
2016,"79088",2866,7
2017,"78362",5953,9
2020,"70448",1,0
2017,"77337",2,0
2017,"76640",1717,2
2019,"77863",226,0
2017,"75559",3248,2
2020,"75662",12235,30
2017,"76651",1796,7
2016,"76728",1,0
2019,"76053",15488,28
2018,"38326",1,0
2017,"77082",24877,29
2021,"79493",437,1
2017,"79754",31,0
2019,"79382",3411,6
2020,"76060",4116,9
2022,"78716",27,0
2019,"75126",20490,40
2021,"76436",151,0
2019,"92394",1,0
2022,"77339",5521,5
2022,"79945",18,0
2022,"76228",175,0
2017,"75682",324,0
2018,"77066",15660,19
2016,"76689",1714,8
2016,"76020",14489,37
2018,"70157",1,0
2021,"87508",4,0
2021,"97210",1,0
2022,"78756",345,0
2017,"77590",16637,36
2017,"77971",450,0
2020,"75681",1704,4
2016,"79311",1642,4
2021,"79770",16,0
2018,"76121",359,1
2016,"77256",57,0
2016,"65807",2,0
2018,"75637",54,0
2018,"78545",437,0
2018,"79527",145,0
2018,"79257",545,1
2019,"32955",1,0
2022,"78754",8516,6
2017,"91791",1,0
2017,"77905",6951,8
2019,"22042",2,0
2019,"77984",2125,4
2016,"79011",75,0
2019,"30319",1,0
2021,"99654",1,0
2020,"70615",1,0
2022,"76031",4963,4
2021,"75143",10207,24
2019,"94949",1,0
2022,"77726",185,0
2019,"75668",1354,7
2021,"78265",730,0
2021,"77431",16,0
2017,"93274",1,0
2022,"76513",7890,6
2021,"53094",2,0
2019,"77275",204,0
2020,"76904",13247,40
2022,"75415",34,0
2018,"77353",413,1
2021,"75207",724,2
2020,"76251",351,2
2019,"78577",46396,34
2016,"65203",1,0
2021,"75688",191,1
2017,"97080",2,0
2017,"74555",1,0
2018,"30354",1,0
2017,"78403",438,2
2021,"75449",612,1
2021,"77805",840,0
2021,"98408",1,0
2020,"76599",1,0
2019,"11355",1,0
2020,"79016",21,0
2016,"75206",10124,10
2017,"75234",15064,19
2016,"75097",129,4
2017,"80013",1,0
2019,"80302",1,0
2020,"92021",1,0
2020,"23185",4,0
2019,"32082",1,0
2016,"78046",38581,12
2020,"78704",13532,20
2021,"00000",21,0
2018,"77588",525,1
2019,"76803",129,0
2019,"77473",155,0
2020,"78419",2,0
2019,"75407",10194,20
2019,"78361",3311,1
2018,"77208",21,0
2019,"63901",1,0
2016,"75006",21687,47
2021,"48739",1,0
2021,"78672",599,1
2016,"75211",38875,33
2016,"73139",1,0
2016,"78837",119,0
2020,"93444",1,0
2021,"78248",5612,13
2020,"78413",17063,18
2019,"76887",54,0
2022,"75694",49,0
2021,"77546",18552,35
2020,"78237",28921,20
2021,"79018",143,0
2021,"87722",1,0
2018,"77346",21597,37
2021,"79081",1561,2
2018,"77266",219,2
2016,"79261",233,1
2018,"72629",2,0
2020,"75573",267,1
2016,"77701",8438,15
2016,"57701",1,0
2019,"76487",1302,3
2019,"70777",1,0
2016,"76164",9416,2
2017,"78347",27,0
2019,"79720",13386,22
2021,"63701",1,0
2019,"78055",1054,2
2022,"79923",73,0
2016,"75155",1498,3
2016,"79256",165,0
2017,"77967",6,0
2017,"95604",1,0
2016,"76402",29,0
2022,"79344",4,0
2019,"77073",20332,28
2017,"79257",638,1
2018,"75972",4239,13
2021,"75437",641,0
2018,"76011",12978,21
2020,"79044",210,0
2018,"78596",24528,22
2021,"79083",1073,7
2019,"73932",5,0
2017,"97211",1,0
2019,"79087",271,0
2021,"75832",90,0
2021,"79316",6262,21
2019,"77705",15215,12
2017,"78292",38,0
2019,"98023",2,0
2019,"77616",564,1
2020,"76679",893,1
2018,"48224",2,0
2019,"77351",18505,34
2018,"75751",9767,26
2022,"78742",259,0
2021,"79506",314,1
2021,"70560",1,0
2022,"75494",2524,4
2016,"37212",1,1
2018,"78657",3837,5
2020,"76644",119,3
2021,"35749",1,0
2021,"72335",1,0
2021,"79607",57,1
2018,"75515",1,0
2021,"80123",1,0
2019,"76804",1195,4
2018,"77488",7675,9
2017,"76471",1043,6
2022,"79701",8152,6
2018,"75132",167,0
2020,"75990",1,0
2021,"85367",2,0
2019,"53151",1,0
2016,"79091",48,0
2020,"77087",17859,19
2019,"76527",2298,5
2017,"75766",16942,41
2021,"78746",9422,15
2021,"39301",2,0
2016,"76433",636,0
2021,"31909",1,0
2019,"30144",1,0
2020,"61614",1,0
2021,"91911",4,0
2022,"76105",10663,6
2017,"76367",4506,24
2019,"88033",1,0
2020,"78414",15593,15
2022,"75759",100,0
2020,"32513",1,0
2019,"94553",1,0
2019,"06477",1,0
2018,"75652",6744,17
2019,"68008",1,0
2021,"75381",158,0
2021,"79908",128,2
2021,"77492",307,1
2020,"78355",5145,0
2016,"78070",8017,18
2018,"78580",7945,4
2020,"78652",2286,2
2021,"74523",2,0
2020,"78038",1,0
2016,"75555",782,2
2018,"79016",20,0
2016,"79930",16212,17
2021,"75703",18925,43
2022,"79059",89,0
2020,"75932",846,0
2019,"80227",1,0
2019,"92260",1,0
2019,"75572",2164,6
2016,"75687",100,0
2016,"78761",649,2
2017,"76273",4898,11
2017,"77213",160,0
2022,"75115",12433,20
2017,"78070",8431,22
2019,"76109",10166,30
2021,"76462",1637,2
2019,"75850",310,0
2017,"28217",1,0
2019,"80910",2,0
2018,"96793",1,0
2018,"79097",541,0
2020,"77971",380,1
2022,"75207",212,0
2017,"76883",5,0
2021,"75707",7509,21
2019,"77643",70,0
2018,"90631",2,0
2020,"77879",3080,3
2016,"78632",430,0
2019,"79021",54,0
2020,"78278",426,0
2019,"79539",87,2
2021,"78841",1027,0
